model: model_u_30a_with_param 准确度:0.772067604599419 f1:0.556481478322184
model: model_u_30a_with_price 准确度:0.798401691762735 f1:0.5650582385118539
model: model_u_30act_h30 准确度:0.8156977573719248 f1:0.5823789163963641
model: model_u_lst10 迭代次数:97 测试集精确率:0.6176470588235294 f1:0.1469387755102041
model: model_u_lst10 迭代次数:98 测试集精确率:0.6169429097605893 f1:0.14653349857840636
model: model_u_lst10 迭代次数:99 测试集精确率:0.6170866625691457 f1:0.14640904119577106
model: model_u_lst10 迭代次数:100 测试集精确率:0.6189305470190535 f1:0.14684651841049945
model: model_u_lst10 迭代次数:101 测试集精确率:0.616891064871481 f1:0.1469173589855706
model: model_u_lst10 迭代次数:102 测试集精确率:0.6152905198776758 f1:0.14661517160970633
model: model_u_lst10 迭代次数:103 测试集精确率:0.6147291539866099 f1:0.14711237346151043
model: model_u_lst10 迭代次数:104 测试集精确率:0.6148238153098421 f1:0.1473714868210281
model: model_u_lst10 迭代次数:105 测试集精确率:0.6146844660194175 f1:0.1474956319161328
model: model_u_lst10 迭代次数:106 测试集精确率:0.6158499697519662 f1:0.14816971108361837
model: model_u_lst10 迭代次数:107 测试集精确率:0.619277108433735 f1:0.14954902531277275
model: model_u_lst10 迭代次数:108 测试集精确率:0.6166766646670666 f1:0.1494729189385678
model: model_u_lst10 迭代次数:109 测试集精确率:0.6168168168168168 f1:0.1493492328946412
model: model_u_lst10 迭代次数:110 测试集精确率:0.615568862275449 f1:0.1494403256287251
model: model_u_lst10 迭代次数:111 测试集精确率:0.616258218768679 f1:0.14984376135455274
model: model_u_lst10 迭代次数:112 测试集精确率:0.6167664670658682 f1:0.14973106556185492
model: model_u_lst10 迭代次数:113 测试集精确率:0.6159334126040428 f1:0.15047204066811912
model: model_u_lst10 迭代次数:114 测试集精确率:0.6122327790973872 f1:0.14972407783909383
model: model_u_lst10 迭代次数:115 测试集精确率:0.6130952380952381 f1:0.14962231260894826
model: model_u_lst10 迭代次数:107 测试集精确率:0.619277108433735 f1:0.14954902531277275
model: model_u_lst10_under 迭代次数:50 测试集精确率:0.7501140684410647 f1:0.776326145128286
model: model_u_lst10_under 迭代次数:60 测试集精确率:0.7493911719939117 f1:0.7752932839933863
model: model_u_lst10_under 迭代次数:70 测试集精确率:0.750038057543005 f1:0.7759055118110235
model: model_u_lst10_under 迭代次数:80 测试集精确率:0.75 f1:0.7751241428233624
model: model_u_lst10_under 迭代次数:90 测试集精确率:0.7504191434232587 f1:0.775843050740624
model: model_u_lst10_under 迭代次数:100 测试集精确率:0.750019105846389 f1:0.7743717205191936
model: model_u_lst10_under 迭代次数:110 测试集精确率:0.7498093640384322 f1:0.7749842370744009
model: model_u_lst10_under 迭代次数:120 测试集精确率:0.7490079365079365 f1:0.773870535362296
model: model_u_lst10_under 迭代次数:130 测试集精确率:0.7484723495264284 f1:0.7729746785517079
model: model_u_lst10_under 迭代次数:140 测试集精确率:0.7495227185948835 f1:0.7741452064518674
model: model_u_lst10_under 迭代次数:150 测试集精确率:0.7491214667685256 f1:0.7735878826128115
model: model_u_lst10_under 迭代次数:160 测试集精确率:0.7504209398438696 f1:0.7742419456727733
model: model_u_lst10_under 迭代次数:170 测试集精确率:0.7492177363962451 f1:0.7740587423615217
model: model_u_lst10_under 迭代次数:180 测试集精确率:0.7490261972046132 f1:0.7735752317097219
model: model_u_lst10_under 迭代次数:190 测试集精确率:0.7507838189187123 f1:0.7749319231224595
model: model_u_lst10_under 迭代次数:200 测试集精确率:0.7492751411567221 f1:0.7742037212235887
model: model_u_lst10_under 迭代次数:210 测试集精确率:0.7481904761904762 f1:0.7736242958994761
model: model_u_lst10_under 迭代次数:220 测试集精确率:0.7469741950216945 f1:0.7727075869128706
model: model_u_lst10_under 迭代次数:230 测试集精确率:0.746765108844573 f1:0.7725196850393701
model: model_u_lst10_under 迭代次数:240 测试集精确率:0.7478850697355385 f1:0.7731946578418627
model: model_u_lst10_under 迭代次数:250 测试集精确率:0.7472811620655563 f1:0.7733658651764984
model: model_u_lst10_under 迭代次数:260 测试集精确率:0.7475779998474331 f1:0.7725355721098893
model: model_u_lst10_under 迭代次数:270 测试集精确率:0.7484161514388215 f1:0.7731735204825928
model: model_u_lst10_under 迭代次数:280 测试集精确率:0.7472326131765784 f1:0.7718938527660582
model: model_u_lst10_under 迭代次数:290 测试集精确率:0.7477676867892848 f1:0.7725606150206978
model: model_u_lst10_under 迭代次数:50 测试集精确率:0.6358811040339702 f1:0.3567599761762954
model: model_u_lst10_under 迭代次数:60 测试集精确率:0.6337507698624513 f1:0.3642262993333727
model: model_u_lst10_under 迭代次数:70 测试集精确率:0.6325865580448066 f1:0.36562683931724543
model: model_u_lst10_under 迭代次数:80 测试集精确率:0.6338342810722989 f1:0.3670900964478947
model: model_u_lst10_under 迭代次数:90 测试集精确率:0.6289738430583501 f1:0.3666862170087977
model: model_u_lst10_under 迭代次数:100 测试集精确率:0.6271555996035679 f1:0.36951824817518253
model: model_u_lst10_under 迭代次数:110 测试集精确率:0.6262012159246911 f1:0.37173292973979866
model: model_u_lst10_under 迭代次数:120 测试集精确率:0.6262269336474283 f1:0.37149178991498777
model: model_u_lst10_under 迭代次数:130 测试集精确率:0.6260257913247362 f1:0.37260146528666127
model: model_u_lst10_under 迭代次数:140 测试集精确率:0.6238408037094282 f1:0.37424663885025494
model: model_u_lst10_under 迭代次数:150 测试集精确率:0.6199311400153023 f1:0.3745088976195979
model: model_u_lst10_under 迭代次数:160 测试集精确率:0.6180568810841763 f1:0.373924591489116
model: model_u_lst10_under 迭代次数:170 测试集精确率:0.6168417104276069 f1:0.37778543533195497
